titulo,descricao,link,data_publicacao,fonte,categoria,n_palavras_titulo,n_palavras_desc,dia_semana,hora,sentimento
"Frente Comum cumpre ""grande greve"" da Função Pública contra políticas do Governo","Esta sexta-feira é dia de greve da Função Pública, uma jornada de luta convocada pela Frente Comum de sindicatos afetos à CGTP. Atualizamos aqui, ao minuto, todas as informações sobre o impacto da paralisação de 24 horas.",https://www.rtp.pt/noticias/economia/frente-comum-cumpre-grande-greve-da-funcao-publica-contra-politicas-do-governo_e1693340,2025-10-24 13:27:56+01:00,RTP,politica,12,37,4,13,0
"""Foi escolhida outra pessoa"". Ministra lembra que Sérgio Janeiro liderou INEM em regime de substituição","Ana Paula Martins negou esta sexta-feira que Sérgio Janeiro tenha sido demitido da liderança do INEM. O afastamento do até agora presidente &quot;em regime de substituição&quot;, sustentou a ministra da Saúde, ocorre em resultado de um concurso no quadro da CReSAP. Questionada pelos jornalistas sobre o nome de Luís Cabral, que tem sido apontado para a sucessão, a governante escusou-se a confirmar, para já, a escolha.",https://www.rtp.pt/noticias/politica/foi-escolhida-outra-pessoa-ministra-lembra-que-sergio-janeiro-liderou-inem-em-regime-de-substituicao_n1693412,2025-10-24 12:51:26+01:00,RTP,politica,15,66,4,12,0
Chega sem acordo global com PSD e CDS na lei da nacionalidade e PS está contra,"O Chega vai apenas aprovar, na especialidade, alguns pontos da proposta de revisão da lei da nacionalidade que partiu do Governo, enquanto PS, BE e PCP anunciaram a sua oposição global ao processo.",https://www.rtp.pt/noticias/politica/chega-sem-acordo-global-com-psd-e-cds-na-lei-da-nacionalidade-e-ps-esta-contra_n1693380,2025-10-24 11:06:49+01:00,RTP,politica,16,33,4,11,0
Ministra da Saúde substitui Sérgio Janeiro por Luís Cabral e INEM passa a ser ANEM,"A ministra da Saúde, Ana Paula Martins, exonerou na última noite o até agora presidente do Instituto Nacional de Emergência Médica, Sérgio Janeiro. A escolha para o cargo recai sobre Luís Cabral, que desempenhou o cargo de secretário regional da Saúde dos Açores de 2012 a 2016. O INEM passará a denominar-se Autoridade Nacional de Emergência Médica.",https://www.rtp.pt/noticias/politica/ministra-da-saude-substitui-sergio-janeiro-por-luis-cabral-e-inem-passa-a-ser-anem_n1693373,2025-10-24 10:24:12+01:00,RTP,politica,15,57,4,10,0
"Frente Comum defende ""reversão do caminho de empobrecimento""","Em entrevista à edição desta sexta-feira do Bom Dia Portugal, o coordenador da Frente Comum de Sindicatos da Administração Pública, que convocou a greve de 24 horas dos trabalhadores do Estado, lembrou que estes profissionais &quot;perderam mais de 20 por cento do poder de compra nas últimas duas décadas&quot;.",https://www.rtp.pt/noticias/politica/frente-comum-defende-reversao-do-caminho-de-empobrecimento_v1693350,2025-10-24 08:24:47+01:00,RTP,politica,8,49,4,8,1
Exigências ao PSD. Chega ameaça votar contra lei da nacionalidade,"O líder do Chega ameaçou esta quinta-feira que o partido poderá votar contra a lei da nacionalidade caso o PSD não aceite as suas exigências. André Ventura sublinhou, entre outras medidas, a da perda automática da nacionalidade para quem comete crimes graves.",https://www.rtp.pt/noticias/politica/exigencias-ao-psd-chega-ameaca-votar-contra-lei-da-nacionalidade_n1693309,2025-10-23 23:12:04+01:00,RTP,politica,10,42,3,23,0
Ventura quer ser candidato mais votado na primeira volta e ter resultado expressivo,"O candidato presidencial, e líder do Chega, André Ventura, estabeleceu hoje como objetivo ser o candidato mais votado na primeira volta das eleições de janeiro, e ter um resultado o &quot;mais expressivo possível&quot; numa segunda volta.",https://www.rtp.pt/noticias/politica/ventura-quer-ser-candidato-mais-votado-na-primeira-volta-e-ter-resultado-expressivo_n1693296,2025-10-23 22:45:18+01:00,RTP,politica,13,36,3,22,0
"Elevador da Glória. Relatório preliminar contém ""muito mais"" do que Marcelo ""tinha pensado""",Marcelo Rebelo de Sousa afirma que o relatório preliminar ao acidente com o elevador da Glória revelou mais do que aquilo que pensava.,https://www.rtp.pt/noticias/politica/elevador-da-gloria-relatorio-preliminar-contem-muito-mais-do-que-marcelo-tinha-pensado_v1693304,2025-10-23 22:30:48+01:00,RTP,politica,13,23,3,22,0
Lei da Nacionalidade. Chega tem linhas vermelhas e admite votar contra,"O Chega admitiu votar contra a Lei da Nacionalidade. A discussão foi novamente adiada, pelo PSD, e o PS voltou a entregar propostas de alteração que se aproximam do diploma social-democrata.",https://www.rtp.pt/noticias/politica/lei-da-nacionalidade-chega-tem-linhas-vermelhas-e-admite-votar-contra_v1693291,2025-10-23 21:44:48+01:00,RTP,politica,11,31,3,21,0
André Martins renuncia ao mandato de vereador da Câmara,"O presidente da Câmara de Setúbal, André Martins, anunciou hoje que vai renunciar ao mandato de vereador naquele município, para que foi eleito no dia 12 de outubro, sendo substituído pelo número dois da lista da CDU, Nuno Costa.",https://www.rtp.pt/noticias/politica/andre-martins-renuncia-ao-mandato-de-vereador-da-camara_n1693217,2025-10-23 18:23:23+01:00,RTP,politica,9,39,3,18,0
Lei da Nacionalidade. Discussão na especialidade adiada pela terceira vez,"A discussão da lei da nacionalidade na especialidade voltou a ser adiada esta quinta-feira, a pedido do PSD. É a terceira vez que é adiada.",https://www.rtp.pt/noticias/politica/lei-da-nacionalidade-discussao-na-especialidade-adiada-pela-terceira-vez_n1693245,2025-10-23 17:36:31+01:00,RTP,politica,10,25,3,17,0
"Chega pede ""medidas imediatas"" para a habitação: ""É difícil dar tempo""","O Chega prossegue as críticas à falta de &quot;ambição&quot; do Governo no setor da habitação, desde logo na fiscalidade, e avisa que o mercado &quot;não espera&quot; por medidas que apenas apontem a soluções de longo prazo. Francisco Gomes, deputado do Chega, defendeu, na Antena 1, que a crise na habitação &quot;condiciona de forma severa&quot; vários setores da sociedade e que são o espelho de décadas de orientações &quot;menos acertadas&quot; e políticas &quot;avulsas&quot;.",https://www.rtp.pt/noticias/politica/chega-pede-medidas-imediatas-para-a-habitacao-e-dificil-dar-tempo_a1693200,2025-10-23 16:08:11+01:00,RTP,politica,11,72,3,16,-1
